sampleID	ai1	lst1	hrd-loh	HRD
TCGA-02-0338-01	1	1	0	2
TCGA-02-0339-01	5	1	4	10
TCGA-02-0422-01	3	3	2	8
TCGA-02-0430-01	3	3	4	10
TCGA-02-0432-01	9	4	5	18
TCGA-02-0440-01	0	1	1	2
TCGA-02-0446-01	1	5	1	7
TCGA-02-0451-01	2	5	2	9
TCGA-02-0456-01	1	1	0	2
TCGA-02-2466-01	8	7	5	20
TCGA-02-2470-01	4	5	3	12
TCGA-02-2483-01	9	6	7	22
TCGA-02-2485-01	1	2	0	3
TCGA-02-2486-01	1	5	3	9
TCGA-04-1331-01	16	21	10	47
TCGA-04-1332-01	14	16	7	37
TCGA-04-1335-01	19	16	16	51
TCGA-04-1336-01	21	14	11	46
TCGA-04-1337-01	10	5	7	22
TCGA-04-1338-01	27	43	16	86
TCGA-04-1341-01	20	12	9	41
TCGA-04-1342-01	12	14	4	30
TCGA-04-1343-01	15	10	5	30
TCGA-04-1346-01	17	13	4	34
TCGA-04-1347-01	18	23	5	46
TCGA-04-1348-01	17	12	11	40
TCGA-04-1349-01	14	7	11	32
TCGA-04-1350-01	9	5	1	15
TCGA-04-1351-01	19	15	5	39
TCGA-04-1353-01	23	28	14	65
TCGA-04-1356-01	29	27	22	78
TCGA-04-1357-01	23	26	9	58
TCGA-04-1360-01	24	35	10	69
TCGA-04-1361-01	20	26	18	64
TCGA-04-1362-01	31	29	12	72
TCGA-04-1364-01	19	14	3	36
TCGA-04-1365-01	15	17	15	47
TCGA-04-1367-01	13	11	9	33
TCGA-04-1371-01	15	19	7	41
TCGA-04-1514-01	19	12	11	42
TCGA-04-1516-01	26	31	17	74
TCGA-04-1517-01	19	14	12	45
TCGA-04-1519-01	3	2	3	8
TCGA-04-1525-01	14	11	3	28
TCGA-04-1530-01	24	27	11	62
TCGA-04-1536-01	26	26	10	62
TCGA-04-1542-01	15	14	8	37
TCGA-04-1638-01	12	6	5	23
TCGA-04-1644-01	14	8	8	30
TCGA-04-1646-01	11	7	9	27
TCGA-04-1648-01	7	2	5	14
TCGA-04-1649-01	15	7	1	23
TCGA-04-1651-01	22	30	19	71
TCGA-04-1652-01	13	10	3	26
TCGA-04-1654-01	20	28	22	70
TCGA-04-1655-01	14	10	2	26
TCGA-05-4244-01	14	8	6	28
TCGA-05-4249-01	4	3	3	10
TCGA-05-4250-01	4	6	4	14
TCGA-05-4382-01	16	10	7	33
TCGA-05-4384-01	4	2	2	8
TCGA-05-4389-01	17	16	12	45
TCGA-05-4390-01	15	10	2	27
TCGA-05-4395-01	17	7	12	36
TCGA-05-4396-01	5	2	6	13
TCGA-05-4397-01	17	15	11	43
TCGA-05-4398-01	18	16	13	47
TCGA-05-4402-01	10	4	7	21
